procesado_para
OCCIDENTAL DEL AMAZONAS INC. SUCURSAL DEL PERU
OCCIDENTAL PETROLEUM
OCCIDENTAL PETROLEUM CORPORATION OF PERU
Oceanic Exploration Co
OLYMPIC PERU INC.- SUCURSAL DEL PERU
PACIFIC RUBIALES ENERGY
PACIFIC STRATUS ENERGY
PAN ANDEAN RESOURCES PLC- SUCURSAL DEL PERU
PANENERGY EXPLORACION & PRODUCCION PERU
PANGAEA (PERU) ENERGY LLC.
PERENCO PERU PETROLEUM LIMITED
PEREZ COMPANC
PERU CITIES SERVICE INC.
PERUVIAN SUN OIL COMPANY
PETROANDES
PETROBRAS ENERGIA PERÚ S.A.
PETROLEOS DE LA SELVA S.A.C.
PETROLEOS DEL PERU S.A.
PETROLERA ARGENTINA SAN JORGE
PETROLERA MONTERRICO S.A.
PETROLIFERA PETROLEUM DEL PERU S.A.
PETROMINEROS DEL PERU
PETROTAL PERU S.R.L.
PETROTECH PERUANA S.A.
PETROTORO INC.
PETROVIETNAM EXPLORATION- SUCURSAL PERUANA (PVEP)
PETTY RAY GEOPHYSICAL
PGS ONSHORE
PHILLIPS PETROLEUM COMPANY
PITKIN PETROLEUM PERU XXVIII S.A.C.
PLUSPETROL
PLUSPETROL NORTE S.A.
PLUSPETROL PERU CORPORATION S.A.
QUINTANA MINERALS PERU LLC.- SUCURSAL PERUANA
RAMSHORN INTERNATIONAL LIMITED SUC. PERU
REPSOL EXPLORACION PERU SUCURSAL DEL PERU
REPSOL SA
REPSOL YPF PERU
RIBIANA
RIO BRAVO OIL INC
SAPET DEVELOPMENT PERU INC.- SUCURSAL DEL PERU
SAPET-BGP
SAVIA PERU S.A.
SHELL EXPLORADORA Y PRODUCTORA DEL PERU B.V.
SHELL Y MOBIL
SIGNAL PETROLEUM COMPANY
SK ENERGY
SK INNOVATION SUCURSAL PERUANA
SUBANDEAN
TALISMAN PERÚ B.V.- SUCURSAL DEL PERÚ
TECPETROL DEL PERU S.A.C.
THE BRITISH PETROLEUM CO. LTD.
TOTAL COMPAGNIE FRANCAISE DU PETROLES
TULLOW OIL
TULLOW OIL PLC
UNIPETRO ABC S.A.C.
UPLAND OIL & GAS LLC
UPLAND OIL AND GAS LLC.- SUCURSAL DEL PERÚ
VERAZ PETROLEUM PERU
VETRA PERU S.A.C
VETRA PERU S.A.C.
VIETNAM AMERICAN EXPLORATION COMPANY
YACIMIENTO PETROLIFEROS FISCALES BOLIVIANOS
ZEUS ENERGY SAC
ADVANTAGE RESOURCES INTERNATIONAL SUCURSAL DEL PERU
AMERADA 
AMERADA HESS
AMERICAN INTERNATIONAL PETROLEUM
AMOCO PERU PETROLEUM
ANDES
ANDES PETROLEUM
ANDES PETROLEUM CO.
ARCO
BARRET RESOURCES (PERU)LLC-SUCURSAL DEL PERU
BARRETT RESOURCES (PERU) LLC SUCURSAL PERU
BELCO
BPZ - ENERGY INC.
BPZ ENERGY
BRITISH
BURLINGTON
BURLINGTON RESOURCES PERU LTD
BURLINGTON RESOURCES- CONOCOPHILLIPS
CEPSA PERÚ S.A.
COASTAL
COASTAL OIL & GAS CORP.
COASTAL PERU 73 LTD.
COMPAÑÍA CONSULTORA DE PETROLEOS S.A. 
CONOCO PHILIPS & BURLINGTON RESOURCES PERU LTD
"CONOCO PHILIPS & BURLINGTON RESOURCES PERU LTD
CONOCO PHILLIPS"
CONOCO PHILLIPS
CONOCOPHILLIPS  Y BURLINGTON RESOURCES PERÚ LTDA.- PERUVIAN BRANCH
CONSULTORA DE PETROLEO S.A.
DEMINEX
EMERALD ENERGY
ENTERPRISE
ENTERPRISE OIL LTD.
EPF
GETTY
GOLD OIL PERÚ- S.A.C.
GRAN TIERRA
GRAN TIERRA ENERGY INC.- SUCURSAL DEL PERÚ S.A.
GRAN TIERRA ENERGY PERU S.R.L
GRAN TIERRA ENERGY-lnc.
GRAÑA 
GREAT WESTERN LTD
HAMILTON
HEPC
HISPANOIL
HUNT OIL
HYDROCARBON EXPLORATION
IVANHOE- PANGAEA
KAROON GAS AUSTRALIA LTD
MAPLE GAS CORPORATION
MERCANTILE PERU OIL & GAS S.A.
MOBIL EXPLORATION
MOBIL EXPLORATION & PRODUCING PERU INC.
MOBIL EXPLORATION AND PRODUCING PERU INC.
OCCIDENTAL
OCCIDENTAL DEL AMAZONAS INC
OCCIDENTAL PETROLERA DEL PERU
OCCIDENTAL PETROLEUM CORP.
OCCIDENTAL PETROLEUM CORP. OF PERU
OCEANIC EXPLORATION COMPANY
OLYMPIC PERU INC- SUCURSAL DEL PERU.
PACIFIC STRATUS ENERGY- SUC. DEL PERU
PAN ANDEAN RESOURCES PLC (PERU)
PANENERGY
PETRO TECH
PETROANDES - YUGANSK
PETROBRAS
PETROLEOS DEL PERU
PETROLIFERA PETROLEUM DEL PERU
PETROLIFERA PETROLEUM DEL PERU S.A.C.
PETROLIFERA PETROLIUM DEL PERU S.A.
PETROMINEROS
PETROPERU
PETRO-TECH  PERUANA S.A.
PETROVIETNAM EXPLORATION SUCURSAL PERUANA PVEP
PHILLIPS
PHILLIPS PETROLEUM
PLUSPETROL CORPORATION
PLUSPETROL PERU
PLUSPETROL PERU CORPORATION
QUINTANA (QMC)
QUINTANA MINERAL CORPORATION SUCURSAL PERUANA
RAMSHORN INTERNATIONAL LIMITED
REPSOL EXPLORACION
REPSOL EXPLORACION DEL PERU- SUCURSAL DEL PERU
REPSOL EXPLORACIÓN PERÚ
REPSOL EXPLORACION PERU. SUC. DEL PERU
REPSOL YPF EXPLORACION
REPSOL YPF SUCURSAL PERÚ
REPSOL-YPF
SAPET
SAPET  DEVELOPMENT PERU INC.
SAPET DEVELOPMENT INC.
SAVIA
SAVIA PERÚ
SIGNAL
SK ENERGY SUCURSAL PERUANA
SUBANDEAN EXPLORATION &PRODUCTION
SUBANDEAN SUCURSAL DEL PERU
SUN OIL
SUPERIOR
TALISMAN
TALISMAN (PERU) LIMITED
TALISMAN ENERGY
TALISMAN ENERGY B.V.-SUCURSAL DEL PERU
TENNECO
TEXAS
UPLAND OIL AND GAS LLC SUCURSAL DEL PERÚ
UPLAND OIL&GAS
VERAZ PETROLEUM S.A.C.
VIETNAM AMERICAN EXPLORATION COMPANY LLC
VIETNAM AMERICAN EXPLORATION LLC
